Average Case 
	 T(n)
6850	66.000000
6860	63.000000
6870	64.000000
6880	61.000000
6890	132.000000
6900	78.000000
6910	75.000000
6920	77.000000
6930	97.000000
6940	96.000000
6950	73.000000
6960	81.000000
6970	75.000000
6980	90.000000
6990	71.000000
7000	115.000000
7010	97.000000
7020	69.000000
7030	91.000000
7040	76.000000
7050	67.000000
7060	137.000000
7070	96.000000
7080	58.000000
7090	58.000000
7100	58.000000
7110	57.000000
7120	55.000000
7130	57.000000
7140	58.000000
7150	55.000000
7160	57.000000
7170	56.000000
7180	56.000000
7190	56.000000
7200	54.000000
7210	56.000000
7220	57.000000
7230	56.000000
7240	56.000000
7250	52.000000
7260	53.000000
7270	54.000000
7280	54.000000
7290	56.000000
7300	57.000000
7310	56.000000
7320	56.000000
7330	66.000000
7340	58.000000
7350	54.000000
7360	56.000000
7370	82.000000
7380	63.000000
7390	59.000000
7400	61.000000
7410	56.000000
7420	62.000000
7430	60.000000
7440	63.000000
7450	59.000000
7460	57.000000
7470	57.000000
7480	56.000000
7490	56.000000
7500	56.000000
7510	56.000000
7520	53.000000
7530	53.000000
7540	55.000000
7550	56.000000
7560	53.000000
7570	54.000000
7580	52.000000
7590	55.000000
7600	53.000000
7610	58.000000
7620	57.000000
7630	57.000000
7640	58.000000
7650	54.000000
7660	56.000000
7670	55.000000
7680	56.000000
7690	56.000000
7700	55.000000
7710	56.000000
7720	56.000000
7730	57.000000
7740	57.000000
7750	56.000000
7760	54.000000
7770	54.000000
7780	54.000000
7790	55.000000
7800	56.000000
7810	75.000000
7820	63.000000
7830	62.000000
7840	60.000000
7850	58.000000
7860	57.000000
7870	56.000000
7880	57.000000
7890	57.000000
7900	55.000000
7910	55.000000
7920	54.000000
7930	55.000000
7940	55.000000
7950	55.000000
7960	56.000000
7970	56.000000
7980	55.000000
7990	55.000000
8000	54.000000
8010	54.000000
8020	55.000000
8030	56.000000
8040	57.000000
8050	53.000000
8060	55.000000
8070	88.000000
8080	63.000000
8090	58.000000
8100	67.000000
8110	71.000000
8120	80.000000
8130	75.000000
8140	79.000000
8150	72.000000
8160	63.000000
8170	64.000000
8180	59.000000
8190	58.000000
8200	53.000000
8210	56.000000
8220	57.000000
8230	57.000000
8240	55.000000
8250	53.000000
8260	54.000000
8270	53.000000
8280	54.000000
8290	53.000000
8300	56.000000
8310	58.000000
8320	54.000000
8330	59.000000
8340	65.000000
8350	62.000000
8360	73.000000
8370	73.000000
8380	56.000000
8390	57.000000
8400	56.000000
8410	56.000000
8420	57.000000
8430	57.000000
8440	56.000000
8450	55.000000
8460	56.000000
8470	56.000000
8480	56.000000
8490	58.000000
8500	58.000000
8510	54.000000
8520	55.000000
8530	60.000000
8540	65.000000
8550	61.000000
8560	60.000000
8570	58.000000
8580	54.000000
8590	54.000000
8600	58.000000
8610	56.000000
8620	56.000000
8630	56.000000
8640	54.000000
8650	55.000000
8660	53.000000
8670	79.000000
8680	72.000000
8690	78.000000
8700	58.000000
8710	67.000000
8720	58.000000
8730	55.000000
8740	57.000000
8750	54.000000
8760	53.000000
8770	53.000000
8780	54.000000
8790	56.000000
8800	54.000000
8810	53.000000
8820	54.000000
8830	53.000000
8840	53.000000
8850	56.000000
8860	56.000000
8870	56.000000
8880	62.000000
8890	61.000000
8900	58.000000
8910	62.000000
8920	69.000000
8930	64.000000
8940	60.000000
8950	60.000000
8960	58.000000
8970	56.000000
8980	56.000000
8990	55.000000
9000	55.000000
9010	55.000000
9020	56.000000
9030	58.000000
9040	66.000000
9050	59.000000
9060	56.000000
9070	56.000000
9080	56.000000
9090	55.000000
9100	54.000000
9110	55.000000
9120	55.000000
9130	55.000000
9140	53.000000
9150	55.000000
9160	58.000000
9170	55.000000
9180	54.000000
9190	54.000000
9200	55.000000
9210	57.000000
9220	58.000000
9230	55.000000
9240	55.000000
9250	56.000000
9260	55.000000
9270	57.000000
9280	57.000000
9290	61.000000
9300	68.000000
9310	63.000000
9320	62.000000
9330	58.000000
9340	54.000000
9350	55.000000
9360	54.000000
9370	56.000000
9380	55.000000
9390	57.000000
9400	56.000000
9410	56.000000
9420	57.000000
9430	58.000000
9440	58.000000
9450	60.000000
9460	58.000000
9470	57.000000
9480	63.000000
9490	64.000000
9500	61.000000
9510	58.000000
9520	58.000000
9530	56.000000
9540	56.000000
9550	59.000000
9560	58.000000
9570	56.000000
9580	56.000000
9590	56.000000
9600	55.000000
9610	56.000000
9620	56.000000
9630	54.000000
9640	56.000000
9650	57.000000
9660	77.000000
9670	91.000000
9680	69.000000
9690	56.000000
9700	55.000000
9710	54.000000
9720	54.000000
9730	53.000000
9740	55.000000
9750	55.000000
9760	60.000000
9770	60.000000
9780	55.000000
9790	55.000000
9800	52.000000
9810	54.000000
9820	57.000000
9830	58.000000
9840	56.000000
9850	55.000000
9860	65.000000
9870	71.000000
9880	57.000000
9890	63.000000
9900	57.000000
9910	56.000000
9920	55.000000
9930	54.000000
9940	54.000000
9950	56.000000
9960	55.000000
9970	56.000000
9980	62.000000
9990	58.000000
10000	55.000000
Best Case
	 T(n)
10	0.000000
20	0.000000
30	0.000000
40	1.000000
50	1.000000
60	0.000000
70	2.000000
80	1.000000
90	5.000000
100	5.000000
110	8.000000
120	4.000000
130	5.000000
140	6.000000
150	8.000000
160	15.000000
170	18.000000
180	9.000000
190	19.000000
200	12.000000
210	24.000000
220	16.000000
230	4.000000
240	27.000000
250	21.000000
260	15.000000
270	37.000000
280	30.000000
290	28.000000
300	16.000000
310	2.000000
320	33.000000
330	34.000000
340	32.000000
350	29.000000
360	15.000000
370	5.000000
380	40.000000
390	38.000000
400	35.000000
410	35.000000
420	30.000000
430	32.000000
440	30.000000
450	20.000000
460	15.000000
470	45.000000
480	45.000000
490	46.000000
